artist,title,musicChart,year/decade
Sohail Sen Featuring Vishal Dadlani,Shaitan Ka Saala,YouTube,2019
ROSALÍA & Ozuna,"Yo x Ti, Tu x Mi",YouTube,2019
"Sebastián Yatra, Daddy Yankee, Natti Natasha",Runaway ft. Jonas Brothers,YouTube,2019
K-ICM x JACK,SÓNG GIÓ,YouTube,2019
Reynmen,Derdim Olsun,YouTube,2019
"Alan Walker, Sabrina Carpenter & Farruko",On My Way,YouTube,2019
TWICE,FANCY,YouTube,2019
Natti Natasha X Romeo Santos,La Mejor Versión De Mi (Remix),YouTube,2019
Lady Gaga & Bradley Cooper,Shallow,YouTube,2019
Anitta & Kevinho,Terremoto,YouTube,2019
"Myke Towers, Farruko, Arcangel, Sech & Zion",Si Se Da Remix,YouTube,2019
Christian Nodal,De Los Besos Que Te Di,YouTube,2019
"J. Balvin, Bad Bunny",LA CANCIÓN,YouTube,2019
Jonas Brothers,Sucker,YouTube,2019
"GIMS, Maluma",Hola Señorita (Maria),YouTube,2019
Hook Up Song,Student Of The Year 2 | Tiger Shroff & Alia | Vishal and Shekhar |Neha Kakkar|Kumaar,YouTube,2019
ชอบแบบนี้,หนามเตย สะแบงบิน,YouTube,2019
Dalex,Pa Mi - Remix,YouTube,2019
"Calvin Harris, Rag'n'Bone Man",Giant,YouTube,2019
Addy Nagar- Hamsar Hayat,Ishq Ka Raja,YouTube,2019
Khalid,Talk,YouTube,2019
Selena Gomez,Lose You To Love Me,YouTube,2019
"DJ Snake, J. Balvin, Tyga",Loco Contigo,YouTube,2019
"Y2K, bbno$",Lalala,YouTube,2019
Lil Dicky,Earth,YouTube,2019
Reynmen,Ela,YouTube,2019
Lil Nas X,Panini,YouTube,2019
BLACKPINK,'Kill This Love' DANCE PRACTICE VIDEO (MOVING VER.),YouTube,2019
Badshah,Paagal,YouTube,2019
กรรม,ป้าง นครินทร์「Official MV」,YouTube,2019
"Los Ángeles Azules, Belinda, Lalo Ebratt",Amor A Primera Vista ft. Horacio Palencia,YouTube,2019
Lil Tecca,Ransom (Dir. by @_ColeBennett_),YouTube,2019
Sarah Jeffery,"Queen of Mean (From ""Descendants 3"")",YouTube,2019
Gusttavo Lima,Milu,YouTube,2019
Mohamed Ramadan & Saad Lamjarred,Ensay,YouTube,2019
Guru Randhawa,SLOWLY SLOWLY,YouTube,2019
Baani Sandhu,8 Parche,YouTube,2019
Dababy,Suge (Yea Yea),YouTube,2019
Aseel Hameem,Ser Alhayah,YouTube,2019
Sam Smith,How Do You Sleep?,YouTube,2019
21 Savage,a lot,YouTube,2019
Aventura,Inmortal,YouTube,2019
Adele,Rolling In the Deep,Itunes,2010-2020
Adele,Someone Like You,Itunes,2010-2020
Pharrell Williams,Happy,Itunes,2010-2020
Adele,Set Fire To The Rain,Itunes,2010-2020
John Legend,All of Me,Itunes,2010-2020
Gotye,Somebody That I Used to Know,Itunes,2010-2020
Ed Sheeran,Shape of You,Itunes,2010-2020
Ed Sheeran,Perfect,Itunes,2010-2020
Rihanna,Diamonds,Itunes,2010-2020
Ed Sheeran,Thinking Out Loud,Itunes,2010-2020
David Guetta & Sia,Titanium,Itunes,2010-2020
Mark Ronson,Uptown Funk,Itunes,2010-2020
Avicii,Wake Me Up,Itunes,2010-2020
PSY,Gangnam Style,Itunes,2010-2020
ADELE,Skyfall,Itunes,2010-2020
Maroon 5,Moves Like Jagger,Itunes,2010-2020
Daft Punk,Get Lucky,Itunes,2010-2020
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,Itunes,2010-2020
Rihanna,We Found Love,Itunes,2010-2020
Carly Rae Jepsen,Call Me Maybe,Itunes,2010-2020
Katy Perry,Roar,Itunes,2010-2020
Passenger,Let Her Go,Itunes,2010-2020
LMFAO,Party Rock Anthem,Itunes,2010-2020
P!nk,Just Give Me a Reason,Itunes,2010-2020
Luis Fonsi,Despacito ft. Daddy Yankee,Itunes,2010-2020
Adele,Hello,Itunes,2010-2020
Lady Gaga & Bradley Cooper,Shallow,Itunes,2010-2020
Wiz Khalifa,See You Again,Itunes,2010-2020
Sia,Chandelier,Itunes,2010-2020
Ellie Goulding,Love Me Like You Do,Itunes,2010-2020
Justin Timberlake,CAN'T STOP THE FEELING!,Itunes,2010-2020
Fun.,We Are Young,Itunes,2010-2020
Taylor Swift,Shake It Off,Itunes,2010-2020
Bruno Mars,Locked Out of Heaven,Itunes,2010-2020
Coldplay,Paradise,Itunes,2010-2020
Michel Teló,Ai Se Eu Te Pego,Itunes,2010-2020
Coldplay,A Sky Full of Stars,Itunes,2010-2020
Bruno Mars,Just the Way You Are,Itunes,2010-2020
LMFAO,Sexy and I Know It,Itunes,2010-2020
will.i.am & Britney Spears,Scream & Shout,Itunes,2010-2020
Shakira,Waka Waka,Itunes,2010-2020
Bruno Mars,When I Was Your Man,Itunes,2010-2020
OneRepublic,Counting Stars,Itunes,2010-2020
Camila Cabello,Havana,Itunes,2010-2020
Justin Bieber,Sorry,Itunes,2010-2020
Imagine Dragons,Radioactive,Itunes,2010-2020
Pitbull,Give Me Everything,Itunes,2010-2020
Alan Walker,Faded,Itunes,2010-2020
Pitbull,Timber,Itunes,2010-2020
Jennifer Lopez,On the Floor,Itunes,2010-2020
Imagine Dragons,Believer,Itunes,2010-2020
The Chainsmokers & Coldplay,Something Just Like This,Itunes,2010-2020
Ed Sheeran,Photograph,Itunes,2010-2020
Taylor Swift,Blank Space,Itunes,2010-2020
Rihanna & Eminem,Love the Way You Lie,Itunes,2010-2020
Katy Perry,Firework,Itunes,2010-2020
Hozier,Take Me To Church,Itunes,2010-2020
Rihanna,Stay,Itunes,2010-2020
Katy Perry,Dark Horse,Itunes,2010-2020
Maroon 5 & Wiz Khalifa,Payphone,Itunes,2010-2020
Foster The People,Pumped Up Kicks,Itunes,2010-2020
Justin Bieber,Love Yourself,Itunes,2010-2020
Rihanna,Only Girl (In The World),Itunes,2010-2020
Imagine Dragons,Thunder,Itunes,2010-2020
P!nk,Try,Itunes,2010-2020
Billie Eilish,bad guy,Itunes,2010-2020
Macklemore & Ryan Lewis,Can't Hold Us,Itunes,2010-2020
Sam Smith,Stay With Me,Itunes,2010-2020
Macklemore & Ryan Lewis,Thrift Shop,Itunes,2010-2020
Major Lazer,Lean On,Itunes,2010-2020
Imagine Dragons,Demons,Itunes,2010-2020
Christina Perri,A Thousand Years,Itunes,2010-2020
Lorde,Royals,Itunes,2010-2020
Justin Timberlake,Mirrors,Itunes,2010-2020
Avicii,Hey Brother,Itunes,2010-2020
David Guetta & Usher,Without You,Itunes,2010-2020
The Chainsmokers,Closer,Itunes,2010-2020
Maroon 5,One More Night,Itunes,2010-2020
Pitbull ft. Christina Aguilera,Feel This Moment,Itunes,2010-2020
Sia,Cheap Thrills,Itunes,2010-2020
Meghan Trainor,All About That Bass,Itunes,2010-2020
Maroon 5,Girls Like You,Itunes,2010-2020
Nicki Minaj,Starships,Itunes,2010-2020
Flo Rida,Good Feeling,Itunes,2010-2020
Clean Bandit,Rockabye,Itunes,2010-2020
Omi,Cheerleader,Itunes,2010-2020
Coldplay,Viva la Vida,Itunes,2010-2020
Mariah Carey,All I Want for Christmas Is You,Itunes,2010-2020
Eminem ft. Rihanna,The Monster,Itunes,2010-2020
Don Omar & Lucenzo,Danza Kuduro,Itunes,2010-2020
Miley Cyrus,Wrecking Ball,Itunes,2010-2020
Justin Bieber,what do you mean?,Itunes,2010-2020
Flo Rida,Whistle,Itunes,2010-2020
Maroon 5,Sugar,Itunes,2010-2020
Lady Gaga,Always Remember Us This Way,Itunes,2010-2020
Lilly Wood & The Prick and Robin Schulz,Prayer In C,Itunes,2010-2020
One Direction,What Makes You Beautiful,Itunes,2010-2020
Calvin Harris,This Is What You Came For,Itunes,2010-2020
Martin Garrix,Animals,Itunes,2010-2020
Bruno Mars,Grenade,Itunes,2010-2020
Mr. Probz,Waves,Itunes,2010-2020
MAGIC!,Rude,Itunes,2010-2020
The Black Eyed Peas,I Gotta Feeling,Itunes,2010-2020
The Lumineers,Ho Hey,Itunes,2010-2020
Rag'n'Bone Man,Human,Itunes,2010-2020
Shawn Mendes & Camila Cabello,Señorita,Itunes,2010-2020
Bruno Mars,Treasure,Itunes,2010-2020
Lykke Li,I Follow Rivers,Itunes,2010-2020
DJ Snake ft. Justin Bieber,Let Me Love You,Itunes,2010-2020
Clean Bandit,Rather Be,Itunes,2010-2020
Drake,One Dance,Itunes,2010-2020
Coldplay,Hymn for the Weekend,Itunes,2010-2020
James Arthur,Impossible,Itunes,2010-2020
Rihanna,Where Have You Been,Itunes,2010-2020
Calvin Harris & Disciples,How Deep Is Your Love,Itunes,2010-2020
One Direction,Story Of My Life,Itunes,2010-2020
twenty one pilots,Stressed Out,Itunes,2010-2020
Enrique Iglesias,Bailando,Itunes,2010-2020
Lukas Graham,7 Years,Itunes,2010-2020
Ed Sheeran,I See Fire,Itunes,2010-2020
Calvin Harris,Summer,Itunes,2010-2020
Lil Nas X,Old Town Road,Itunes,2010-2020
Naughty Boy,La La La,Itunes,2010-2020
Sam Smith,I'm Not the Only One,Itunes,2010-2020
Alicia Keys,Girl On Fire,Itunes,2010-2020
Swedish House Mafia,Don't You Worry Child,Itunes,2010-2020
Taylor Swift,I Knew You Were Trouble.,Itunes,2010-2020
Avicii,Levels,Itunes,2010-2020
The Weeknd,I Feel It Coming ft. Daft Punk,Itunes,2010-2020
John Newman,Love Me Again,Itunes,2010-2020
The Black Eyed Peas,The Time,Itunes,2010-2020
Coldplay,Adventure of a Lifetime,Itunes,2010-2020
The Weeknd,Can't Feel My Face,Itunes,2010-2020
The Weeknd,Starboy,Itunes,2010-2020
Bruno Mars,24K Magic,Itunes,2010-2020
Capital Cities,Safe and Sound,Itunes,2010-2020
Pitbull,Rain Over Me,Itunes,2010-2020
Ava Max,Sweet but Psycho,Itunes,2010-2020
Alexandra Stan,Mr. Saxobeat,Itunes,2010-2020
The Chainsmokers,Don't Let Me Down,Itunes,2010-2020
Lady GaGa,Born This Way,Itunes,2010-2020
Lewis Capaldi,Someone You Loved,Itunes,2010-2020
Post Malone,rockstar,Itunes,2010-2020
Panic! At the Disco,High Hopes,Itunes,2010-2020
Milky Chance,Stolen Dance,Itunes,2010-2020
Icona Pop,I Love It,Itunes,2010-2020
Charlie Puth,Attention,Itunes,2010-2020
Disturbed,The Sound of Silence,Itunes,2010-2020
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,Itunes,2010-2020
Ariana Grande,Problem,Itunes,2010-2020
Harry Styles,Sign of the Times,Itunes,2010-2020
Ellie Goulding,Burn,Itunes,2010-2020
Taylor Swift,We Are Never Ever Getting Back Together,Itunes,2010-2020
Ed Sheeran,Castle on the Hill,Itunes,2010-2020
Tones and I,Dance Monkey,Itunes,2010-2020
"Calvin Harris, Dua Lipa",One Kiss,Itunes,2010-2020
Jennifer Lopez ft. Pitbull,Dance Again,Itunes,2010-2020
Coldplay,Magic,Itunes,2010-2020
Flo Rida,Wild Ones,Itunes,2010-2020
Flo Rida,Club Can't Handle Me ft. David Guetta,Itunes,2010-2020
A Great Big World & Christina Aguilera,Say Something,Itunes,2010-2020
Taio Cruz,Dynamite,Itunes,2010-2020
Usher,DJ Got Us Fallin' In Love ft. Pitbull,Itunes,2010-2020
Kygo,Firestone,Itunes,2010-2020
Ed Sheeran & Justin Bieber,I Don't Care,Itunes,2010-2020
Mike Posner,I Took a Pill in Ibiza,Itunes,2010-2020
P!nk,What About Us,Itunes,2010-2020
Queen,Bohemian Rhapsody,Itunes,2010-2020
Rihanna,S&M,Itunes,2010-2020
Shawn Mendes,There's Nothing Holdin' Me Back,Itunes,2010-2020
George Ezra,Shotgun,Itunes,2010-2020
Dynoro & Gigi d'Agostino,In My Mind,Itunes,2010-2020
The Script,Hall of Fame,Itunes,2010-2020
Bruno Mars,The Lazy Song,Itunes,2010-2020
Loreen,Euphoria,Itunes,2010-2020
Asaf Avidan & the Mojos,One Day / Reckoning Song,Itunes,2010-2020
twenty one pilots,Heathens,Itunes,2010-2020
"Jessie J, Ariana Grande, Nicki Minaj",Bang Bang,Itunes,2010-2020
Portugal. The Man,Feel It Still,Itunes,2010-2020
Snoop Dogg & David Guetta,Sweat,Itunes,2010-2020
Marshmello ft. Bastille,Happier,Itunes,2010-2020
Martin Solveig,Hello,Itunes,2010-2020
Charlie Puth,We Don’t Talk Anymore,Itunes,2010-2020
Nicky Jam & Enrique Iglesias,El Perdón,Itunes,2010-2020
ZAYN,Dusk Till Dawn,Itunes,2010-2020
Miley Cyrus,We Can't Stop,Itunes,2010-2020
Jessie J,Price Tag,Itunes,2010-2020
Lost Frequencies,Are You With Me,Itunes,2010-2020
Kygo & Selena Gomez,It Ain't Me,Itunes,2010-2020
Nico & Vinz,Am I Wrong,Itunes,2010-2020
Imany,Don't Be So Shy,Itunes,2010-2020
Calvin Harris,Blame ft. John Newman,Itunes,2010-2020
Duck Sauce,Barbra Streisand,Itunes,2010-2020
Keala Settle & The Greatest Showman Ensemble,This Is Me,Itunes,2010-2020
Kungs,This Girl,Itunes,2010-2020
Fifth Harmony,Worth It,Itunes,2010-2020
"Calvin Harris, Sam Smith",Promises,Itunes,2010-2020
Ariana Grande,Break Free,Itunes,2010-2020
Jason Mraz,I'm Yours,Itunes,2010-2020
Metallica,Nothing Else Matters,Itunes,2010-2020
AWOLNATION,Sail,Itunes,2010-2020
Post Malone & Swae Lee,Sunflower,Itunes,2010-2020
James Arthur,Say You Won't Let Go,Itunes,2010-2020
Drake,Hotline Bling,Itunes,2010-2020
Dua Lipa,New Rules,Itunes,2010-2020
Charlie Puth,Marvin Gaye,Itunes,2010-2020
Shawn Mendes,Stitches,Itunes,2010-2020
The Weeknd,Earned It (Fifty Shades Of Grey),Itunes,2010-2020
Clean Bandit,Solo,Itunes,2010-2020
Jason Derulo,Talk Dirty,Itunes,2010-2020
Jason Derulo,Want to Want Me,Itunes,2010-2020
Train,Drive By,Itunes,2010-2020
Snoop Dogg & Wiz Khalifa,"Young, Wild & Free",Itunes,2010-2020
Imagine Dragons,Whatever It Takes,Itunes,2010-2020
R. City,Locked Away,Itunes,2010-2020
Lana Del Rey,Young and Beautiful,Itunes,2010-2020
David Guetta,Dangerous,Itunes,2010-2020
Fun.,Some Nights,Itunes,2010-2020
Calvin Harris,Feel So Close,Itunes,2010-2020
Calvin Harris,Feels,Itunes,2010-2020
Rihanna,Work,Itunes,2010-2020
Train,"Hey, Soul Sister",Itunes,2010-2020
Fifth Harmony,Work from Home,Itunes,2010-2020
Idina Menzel,Let It Go,Itunes,2010-2020
Luis Fonsi & Demi Lovato,Échame La Culpa,Itunes,2010-2020
DNCE,Cake By the Ocean,Itunes,2010-2020
The Wanted,Glad You Came,Itunes,2010-2020
Marc Anthony,Vivir Mi Vida,Itunes,2010-2020
Charlie Puth,One Call Away,Itunes,2010-2020
Bruno Mars,Marry You,Itunes,2010-2020
Clean Bandit,Symphony,Itunes,2010-2020
Imagine Dragons,Natural,Itunes,2010-2020
Kygo,Stole the Show,Itunes,2010-2020
Ed Sheeran,Galway Girl,Itunes,2010-2020
WALK THE MOON,Shut Up and Dance,Itunes,2010-2020
Lady Antebellum,Need You Now,Itunes,2010-2020
Michael Jackson & Justin Timberlake,Love Never Felt So Good,Itunes,2010-2020
David Guetta,Where Them Girls At,Itunes,2010-2020
Jason Mraz,I Won't Give Up,Itunes,2010-2020
Enrique Iglesias,DUELE EL CORAZON,Itunes,2010-2020
"Sam Smith, Normani",Dancing with a Stranger,Itunes,2010-2020
George Ezra,Budapest,Itunes,2010-2020
Pitbull,International Love,Itunes,2010-2020
David Guetta & Rihanna,Who's That Chick,Itunes,2010-2020
Lady Gaga,Applause,Itunes,2010-2020
Lana Del Rey,Summertime Sadness,Itunes,2010-2020
Lost Frequencies,Reality,Itunes,2010-2020
Maroon 5,Memories,Itunes,2010-2020
Ed Sheeran,Sing,Itunes,2010-2020
Yolanda Be Cool & Dcup,We No Speak Americano,Itunes,2010-2020
Major Lazer,Cold Water,Itunes,2010-2020
Felix Jaehn,Ain't Nobody (Loves Me Better),Itunes,2010-2020
Calvin Harris,Outside,Itunes,2010-2020
Israel Kamakawiwo'ole,Over the Rainbow,Itunes,2010-2020
David Guetta,She Wolf,Itunes,2010-2020
Maroon 5,Maps,Itunes,2010-2020
Of Monsters and Men,Little Talks,Itunes,2010-2020
Zayn & Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),Itunes,2010-2020
Skrillex & Diplo,Where Are Ü Now,Itunes,2010-2020
One Direction,One Way or Another,Itunes,2010-2020
Adele,When We Were Young,Itunes,2010-2020
Selena Gomez & Marshmello,Wolves,Itunes,2010-2020
Bastille,Pompeii,Itunes,2010-2020
Robin Schulz,Sugar,Itunes,2010-2020
Klingande,Jubel,Itunes,2010-2020
Shawn Mendes,Treat You Better,Itunes,2010-2020
Katy Perry,Chained to the Rhythm,Itunes,2010-2020
LP,Lost on You,Itunes,2010-2020
Mark Ronson,Nothing Breaks Like a Heart,Itunes,2010-2020
Shakira,Loca,Itunes,2010-2020
"Cardi B, Bad Bunny & J Balvin",I Like It,Itunes,2010-2020
Maroon 5,Animals,Itunes,2010-2020
Halsey,Without Me,Itunes,2010-2020
Sam Smith,Too Good at Goodbyes,Itunes,2010-2020
Lana Del Rey,Video Games,Itunes,2010-2020
Kelly Clarkson,Stronger,Itunes,2010-2020
PSY,Gentleman,Itunes,2010-2020
Owl City & Carly Rae Jepsen,Good Time,Itunes,2010-2020
David Guetta & Sia,Flames,Itunes,2010-2020
Taylor Swift,Style,Itunes,2010-2020
Ariana Grande,No Tears Left to Cry,Itunes,2010-2020
5 Seconds of Summer,Youngblood,Itunes,2010-2020
Avicii,Addicted To You,Itunes,2010-2020
Aloe Blacc,I Need A Dollar,Itunes,2010-2020
Faul & Wad Ad & Pnau,Changes,Itunes,2010-2020
J Balvin & Willy William,Mi Gente,Itunes,2010-2020
Jonas Brothers,Sucker,Itunes,2010-2020
David Guetta,Play Hard,Itunes,2010-2020
Jason Derülo,Wiggle,Itunes,2010-2020
The Weeknd,The Hills,Itunes,2010-2020
Lady GaGa,The Edge of Glory,Itunes,2010-2020
Pitbull,Back In Time,Itunes,2010-2020
The Black Eyed Peas,Just Can't Get Enough,Itunes,2010-2020
David Guetta,Hey Mama,Itunes,2010-2020
P!nk,Raise Your Glass,Itunes,2010-2020
David Guetta,Shot Me Down,Itunes,2010-2020
Adele,Send My Love (To Your New Lover),Itunes,2010-2020
Jay-Z,Empire State of Mind,Itunes,2010-2020
Rachel Platten,Fight Song,Itunes,2010-2020
Burak Yeter,Tuesday,Itunes,2010-2020
Calvin Harris,I Need Your Love,Itunes,2010-2020
Marshmello & Anne-Marie,FRIENDS,Itunes,2010-2020
Stromae,Alors on danse,Itunes,2010-2020
Lady GaGa,Alejandro,Itunes,2010-2020
Bruno Mars,That's What I Like,Itunes,2010-2020
Rudimental,These Days,Itunes,2010-2020
B.o.B,Airplanes,Itunes,2010-2020
Christina Perri,Jar of Hearts,Itunes,2010-2020
Sia,The Greatest,Itunes,2010-2020
AronChupa,I'm an Albatraoz,Itunes,2010-2020
DJ Snake,Taki Taki,Itunes,2010-2020
Jonas Blue,Fast Car,Itunes,2010-2020
Imagine Dragons,On Top of the World,Itunes,2010-2020
Drake,God's Plan,Itunes,2010-2020
Sia,Elastic Heart,Itunes,2010-2020
Maroon 5,Don't Wanna Know,Itunes,2010-2020
Wham!,Last Christmas,Itunes,2010-2020
Katy Perry,Teenage Dream,Itunes,2010-2020
Taio Cruz,Hangover,Itunes,2010-2020
Jason Derülo,Swalla,Itunes,2010-2020
DJ Snake & Lil Jon,Turn Down For What,Itunes,2010-2020
Drake,"Hold On, We're Going Home",Itunes,2010-2020
"Calvin Harris, Rag’n’Bone Man",Giant,Itunes,2010-2020
Ed Sheeran & Khalid,Beautiful People,Itunes,2010-2020
Pitbull,Hey Baby,Itunes,2010-2020
David Guetta & Nicki Minaj,Turn Me On,Itunes,2010-2020
Maroon 5,What Lovers Do,Itunes,2010-2020
Ed Sheeran,Perfect Duet,Itunes,2010-2020
Stromae,Papaoutai,Itunes,2010-2020
Zara Larsson,Lush Life,Itunes,2010-2020
Kaleo,Way Down We Go,Itunes,2010-2020
Katy Perry,Last Friday Night,Itunes,2010-2020
French Montana,Unforgettable,Itunes,2010-2020
Shakira,Can't Remember To Forget You,Itunes,2010-2020
Justin Bieber,Beauty and a Beat ft. Nicki Minaj,Itunes,2010-2020
Enrique Iglesias,Tonight,Itunes,2010-2020
Gusttavo Lima,Balada,Itunes,2010-2020
Enrique Iglesias,SÚBEME LA RADIO,Itunes,2010-2020
Skrillex,Bangarang,Itunes,2010-2020
Calvin Harris,Sweet Nothing,Itunes,2010-2020
Labrinth,Beneath Your Beautiful ft. Emeli Sandé,Itunes,2010-2020
Dean Lewis,Be Alright,Itunes,2010-2020
Imagine Dragons,Bad Liar,Itunes,2010-2020
Sak Noel,Loca People,Itunes,2010-2020
Lauren Daigle,You Say,Itunes,2010-2020
Chris Brown,Yeah 3X,Itunes,2010-2020
Shawn Mendes,In My Blood,Itunes,2010-2020
Britney Spears,Till the World Ends,Itunes,2010-2020
Kid Cudi,Pursuit of Happiness,Itunes,2010-2020
David Guetta,Lovers on the Sun,Itunes,2010-2020
Sam Smith,Writing's on the Wall,Itunes,2010-2020
Katy Perry,California Gurls ft. Snoop Dogg,Itunes,2010-2020
Selena Gomez & The Scene,Love You Like a Love Song,Itunes,2010-2020
Tom Walker,Leave a Light On,Itunes,2010-2020
Avicii,The Nights,Itunes,2010-2020
Nelly,Just a Dream,Itunes,2010-2020
Coldplay,Fix You,Itunes,2010-2020
Calvin Harris,My Way,Itunes,2010-2020
James Bay,Hold Back the River,Itunes,2010-2020
Coldplay,Every Teardrop Is a Waterfall,Itunes,2010-2020
DJ Khaled,Wild Thoughts,Itunes,2010-2020
Cee Lo Green,F**k You/Forget You,Itunes,2010-2020
Liam Payne & Rita Ora,For You,Itunes,2010-2020
Bruno Mars,It Will Rain,Itunes,2010-2020
Ariana Grande,Side To Side,Itunes,2010-2020
Kiesza,Hideaway,Itunes,2010-2020
"Zedd, Maren Morris & Grey",The Middle,Itunes,2010-2020
Kings of Leon,Sex On Fire,Itunes,2010-2020
Far East Movement,Like A G6,Itunes,2010-2020
Ed Sheeran,The a Team,Itunes,2010-2020
Lady Gaga,I'll Never Love Again,Itunes,2010-2020
Usher,More,Itunes,2010-2020
Marshmello,Silence,Itunes,2010-2020
Avicii,Waiting for Love,Itunes,2010-2020
Zedd & Alessia Cara,Stay,Itunes,2010-2020
Taylor Swift,Bad Blood,Itunes,2010-2020
Gym Class Heroes,Stereo Hearts,Itunes,2010-2020
ZAZ,Je veux,Itunes,2010-2020
Eminem,Lose Yourself,Itunes,2010-2020
Desiigner,Panda,Itunes,2010-2020
Julia Michaels,Issues,Itunes,2010-2020
Jonas Blue,Perfect Strangers,Itunes,2010-2020
Demi Lovato,Let It Go,Itunes,2010-2020
Justin Timberlake,Say Something,Itunes,2010-2020
Post Malone,Circles,Itunes,2010-2020
Taio Cruz,Higher,Itunes,2010-2020
Taylor Swift,Look What You Made Me Do,Itunes,2010-2020
will.i.am,This Is Love,Itunes,2010-2020
Daddy Yankee,Con Calma,Itunes,2010-2020
Lady GaGa,Bad Romance,Itunes,2010-2020
Ariana Grande,7 rings,Itunes,2010-2020
Jessie J,Domino,Itunes,2010-2020
Ed Sheeran,Don't,Itunes,2010-2020
Alice Merton,No Roots,Itunes,2010-2020
Jessie J,Flashlight,Itunes,2010-2020
Jonas Blue,Mama,Itunes,2010-2020
Lady Gaga,Million Reasons,Itunes,2010-2020
Kygo & Whitney Houston,Higher Love,Itunes,2010-2020
One Direction,Drag Me Down,Itunes,2010-2020
Calum Scott,Dancing on My Own,Itunes,2010-2020
Selena Gomez,Come & Get It,Itunes,2010-2020
Justin Bieber,Boyfriend,Itunes,2010-2020
gnash,"i hate u, i love u",Itunes,2010-2020
Ariana Grande,"thank u, next",Itunes,2010-2020
Meghan Trainor,Like I'm Gonna Lose You,Itunes,2010-2020
Lana Del Rey & Cedric Gervais,Summertime Sadness,Itunes,2010-2020
Katy Perry,Wide Awake,Itunes,2010-2020
Jesse & Joy,¡Corre,Itunes,2010-2020
OneRepublic,Love Runs Out,Itunes,2010-2020
Flo Rida,I Cry,Itunes,2010-2020
Eagles,Hotel California,Itunes,2010-2020
Duke Dumont,Ocean Drive,Itunes,2010-2020
DJ Khaled,I'm the One,Itunes,2010-2020
Charlie Puth,How Long,Itunes,2010-2020
Sean Paul,Got 2 Luv U,Itunes,2010-2020
Feder,Goodbye,Itunes,2010-2020
The Chainsmokers,Roses,Itunes,2010-2020
Lorde,Team,Itunes,2010-2020
Vance Joy,Riptide,Itunes,2010-2020
Katy Perry,E.T.,Itunes,2010-2020
Ariana Grande,One Last Time,Itunes,2010-2020
Naughty Boy,Runnin',Itunes,2010-2020
Emeli Sandé,"Read All About It, Pt. III",Itunes,2010-2020
Ke$ha,We R Who We R,Itunes,2010-2020
Jay-Z & Kanye West,Ni**as in Paris,Itunes,2010-2020
Justin Bieber & BloodPop®,Friends,Itunes,2010-2020
Jax Jones,You Don't Know Me,Itunes,2010-2020
Silentó,Watch Me (Whip/Nae Nae),Itunes,2010-2020
Rag'n'Bone Man,Skin,Itunes,2010-2020
Rihanna,Love on the Brain,Itunes,2010-2020
Rita Ora,Anywhere,Itunes,2010-2020
Nicki Minaj,Super Bass,Itunes,2010-2020
Niall Horan,Slow Hands,Itunes,2010-2020
Taylor Swift,Wildest Dreams,Itunes,2010-2020
Chris Brown,Don't Wake Me Up,Itunes,2010-2020
Demi Lovato,Heart Attack,Itunes,2010-2020
Camila Cabello,Never Be the Same,Itunes,2010-2020
Calvin Harris & Alesso,Under Control,Itunes,2010-2020
Eminem,River,Itunes,2010-2020
Loud Luxury,Body,Itunes,2010-2020
"Diddy, Dirty Money",Coming Home ft. Skylar Grey,Itunes,2010-2020
Miley Cyrus,Malibu,Itunes,2010-2020
JAY Z,Holy Grail,Itunes,2010-2020
Meghan Trainor,Lips Are Movin,Itunes,2010-2020
P!nk,F**kin' Perfect,Itunes,2010-2020
Justin Bieber,As Long As You Love Me ft. Big Sean,Itunes,2010-2020
Rihanna,What's My Name?,Itunes,2010-2020
Drake,In My Feelings,Itunes,2010-2020
DJ Antoine & Timati,Welcome to St. Tropez,Itunes,2010-2020
Calum Scott,You Are the Reason,Itunes,2010-2020
Dua Lipa,Be the One,Itunes,2010-2020
Imagine Dragons,It's Time,Itunes,2010-2020
Snow Patrol,Chasing Cars,Itunes,2010-2020
Chris Brown,Beautiful People,Itunes,2010-2020
Lady Gaga,Do What U Want,Itunes,2010-2020
Ke$ha,Die Young,Itunes,2010-2020
Tove Lo,Habits,Itunes,2010-2020
Beyoncé,Drunk In Love,Itunes,2010-2020
Mike Posner,Cooler Than Me,Itunes,2010-2020
Pitbull,Fireball,Itunes,2010-2020
Daddy Yankee,Limbo,Itunes,2010-2020
Lady GaGa,Poker Face,Itunes,2010-2020
ZAYN,PILLOWTALK,Itunes,2010-2020
Sheppard,Geronimo,Itunes,2010-2020
will.i.am,#thatPOWER,Itunes,2010-2020
Major Lazer,Light It Up,Itunes,2010-2020
Sean Paul,She Doesn't Mind,Itunes,2010-2020
Echosmith,Cool Kids,Itunes,2010-2020
Charli XCX,Boom Clap,Itunes,2010-2020
Wiz Khalifa,Black and Yellow,Itunes,2010-2020
Regard,Ride It,Itunes,2010-2020
Enrique Iglesias,I Like It,Itunes,2010-2020
Justin Timberlake,Suit & Tie,Itunes,2010-2020
Dua Lipa,Don't Start Now,Itunes,2010-2020
Birdy,Skinny Love,Itunes,2010-2020
Ofenbach,Be Mine,Itunes,2010-2020
